date,action,Q_lstm,dQ_xgb,Q_system,leg1_epistemic,leg2_aleatoric,leg3_threshold_safeguard,uale_t,w_t,Q_lo,Q_hi,alpha_t
2008-01-01,model,3.4552674,-3.1273088,3.4552674,False,False,False,137.1661463381793,0.030577634,0.0,43.64018370521814,0.1
2008-01-02,model,3.2863631,-3.7608829,3.2863631,False,False,False,137.1661463381793,0.030062053,0.0,42.60016022152371,0.1005
2008-01-03,model,3.1180527,-3.0616028,3.1180527,False,False,False,137.1661463381793,0.029486366,0.0,41.5478021861759,0.101
2008-01-04,model,2.9443176,-3.7608829,2.9443176,False,False,False,137.1661463381793,0.028861754,0.0,40.42469825512214,0.1015
2008-01-05,model,2.7734191,-3.6437848,2.7734191,False,False,False,137.1661463381793,0.028221298,0.0,39.19782094755227,0.10200000000000001
2008-01-06,model,2.619536,-3.0616028,2.619536,False,False,False,137.1661463381793,0.027348958,0.0,37.69884929309903,0.10250000000000001
2008-01-07,model,2.5050507,-3.1273088,2.5050507,False,False,False,137.1661463381793,0.026187371,0.0,35.885043549178974,0.10300000000000001
2008-01-08,model,2.3831086,-3.7608829,2.3831086,False,False,False,137.1661463381793,0.025058296,0.0,34.01250624970313,0.10350000000000001
2008-01-09,model,2.257875,-3.6437848,2.257875,False,False,False,137.1661463381793,0.024043871,0.0,32.46809056330243,0.10400000000000001
2008-01-10,model,2.1229064,-3.7608829,2.1229064,False,False,False,137.1661463381793,0.02318604,0.0,31.166462654004203,0.10450000000000001
2008-01-11,model,1.9865662,-3.7608829,1.9865662,False,False,False,137.1661463381793,0.022634374,0.0,30.18787839224048,0.10500000000000001
2008-01-12,model,1.8337066,-3.7608829,1.8337066,False,False,False,137.1661463381793,0.022411427,0.0,29.564545873237176,0.10550000000000001
2008-01-13,defer,1.6729645,-3.7608829,0.0,True,False,False,0.9072642819894969,0.022679845,0.0,29.63363283835277,0.10600000000000001
2008-01-14,defer,1.6681732,-3.7608829,0.0,True,False,False,0.9072642819894969,0.022135237,0.0,28.80768501461814,0.10650000000000001
2008-01-15,defer,1.6663224,-3.7608829,0.0,True,False,False,0.9072642819894969,0.021597395,0.0,28.033006830537957,0.10700000000000001
2008-01-16,defer,2.8208268,-3.7608829,0.0,False,False,False,137.1661463381793,0.024270141,0.0,32.41421744563457,0.10750000000000001
2008-01-17,defer,4.9695845,-3.338194,1.6313906,False,False,False,137.1661463381793,0.059717678,0.0,76.36146980408866,0.10800000000000001
2008-01-18,defer,4.995688,-4.4093294,0.58635855,False,False,False,137.1661463381793,0.060016796,0.0,76.43040838104295,0.10850000000000001
2008-01-19,model,4.842401,-3.4039,4.842401,False,False,False,137.1661463381793,0.057126567,0.0,71.81466223648376,0.10900000000000001
2008-01-20,model,4.652809,-3.338194,4.652809,False,False,False,137.1661463381793,0.053607635,0.0,66.74466086019262,0.10950000000000001
2008-01-21,model,4.4446535,-4.0374737,4.4446535,False,False,False,137.1661463381793,0.049776293,0.0,61.646874967194556,0.11000000000000001
2008-01-22,model,4.214862,-3.7608829,4.214862,False,False,False,137.1661463381793,0.04578089,0.0,56.440999789807655,0.11050000000000001
2008-01-23,model,3.9902816,-3.7608829,3.9902816,False,False,False,137.1661463381793,0.042089872,0.0,51.69122134382383,0.11100000000000002
2008-01-24,model,3.823073,-3.7608829,3.823073,False,False,False,137.1661463381793,0.039626162,0.0,47.67008934438608,0.11150000000000002
2008-01-25,model,3.852426,-3.7608829,3.852426,False,False,False,137.1661463381793,0.04078559,0.0,48.783816036077525,0.11200000000000002
2008-01-26,model,4.328232,-4.0374737,4.328232,False,False,False,137.1661463381793,0.050060447,0.0,59.336932443035685,0.11250000000000002
2008-01-27,model,4.874194,-4.4093294,4.874194,False,False,False,137.1661463381793,0.060968716,0.0,71.77921508466713,0.11300000000000002
2008-01-28,model,5.199103,-4.802048,5.199103,False,False,False,137.1661463381793,0.0679559,0.0,79.55540761617434,0.11350000000000002
2008-01-29,model,5.224454,-4.102769,5.224454,False,False,False,137.1661463381793,0.06931687,0.0,80.85501977960828,0.11400000000000002
2008-01-30,model,4.8086014,-4.4093294,4.8086014,False,False,False,137.1661463381793,0.062394433,0.0,72.55040642007947,0.11450000000000002
2008-01-31,model,4.0726485,-3.7608829,4.0726485,False,False,False,137.1661463381793,0.04973873,0.0,57.963934040470136,0.11500000000000002
2008-02-01,model,3.5651002,-3.0616028,3.5651002,False,False,False,137.1661463381793,0.041405067,0.0,48.082929424438696,0.11550000000000002
2008-02-02,model,3.4236693,-3.1273088,3.4236693,False,False,False,137.1661463381793,0.039428543,0.0,45.79366273128175,0.11600000000000002
2008-02-03,model,3.451715,-3.0616028,3.451715,False,False,False,137.1661463381793,0.04010835,0.0,46.38099473791646,0.11650000000000002
2008-02-04,model,3.4789414,-3.7608829,3.4789414,False,False,False,137.1661463381793,0.040611476,0.0,46.82773386940649,0.11700000000000002
2008-02-05,model,3.4362044,-3.7608829,3.4362044,False,False,False,137.1661463381793,0.03991379,0.0,45.6984220778141,0.11750000000000002
2008-02-06,model,3.3011444,-3.7608829,3.3011444,False,False,False,137.1661463381793,0.037674315,0.0,42.311964589213545,0.11800000000000002
2008-02-07,model,3.076715,-3.7608829,3.076715,False,False,False,137.1661463381793,0.034077935,0.0,37.86138524945594,0.11850000000000002
2008-02-08,model,3.1459746,-3.7608829,3.1459746,False,False,False,137.1661463381793,0.035653092,0.0,39.44348766149283,0.11900000000000002
2008-02-09,model,2.96631,-3.7608829,2.96631,False,False,False,137.1661463381793,0.033008855,0.0,36.48789507606849,0.11950000000000002
2008-02-10,model,2.7566452,-3.7608829,2.7566452,False,False,False,137.1661463381793,0.03003396,0.0,33.189832262493056,0.12000000000000002
2008-02-11,model,2.5786088,-3.7608829,2.5786088,False,False,False,137.1661463381793,0.02767744,0.0,30.50514420075065,0.12050000000000002
2008-02-12,model,2.502655,-3.7608829,2.502655,False,False,False,137.1661463381793,0.026941705,0.0,29.604912439049333,0.12100000000000002
2008-02-13,model,2.7333755,-3.7608829,2.7333755,False,False,False,137.1661463381793,0.031060833,0.0,33.686267687785275,0.12150000000000002
2008-02-14,model,2.0934677,-3.7608829,2.0934677,False,False,False,137.1661463381793,0.021852568,0.0,23.79421213270745,0.12200000000000003
2008-02-15,defer,1.6968491,-3.0616028,0.0,True,False,False,0.9072642819894969,0.017538888,0.0,19.081283775729414,0.12250000000000003
2008-02-16,model,1.5245559,-3.0616028,1.5245559,False,False,False,0.9072642819894969,0.016069816,0.0,17.407132328654022,0.12300000000000003
2008-02-17,model,1.4093597,-3.7608829,1.4093597,False,False,False,0.9072642819894969,0.015167824,0.0,16.36384959601348,0.12350000000000003
2008-02-18,model,1.314708,-3.7608829,1.314708,False,False,False,0.9072642819894969,0.014441188,0.0,15.510225796427122,0.12400000000000003
2008-02-19,model,1.2212967,-3.7608829,1.2212967,False,False,False,0.9072642819894969,0.013774049,0.0,14.678195396683108,0.12450000000000003
2008-02-20,model,1.1282074,-3.1273088,1.1282074,False,False,False,0.9072642819894969,0.013183002,0.0,13.9234194399763,0.12500000000000003
2008-02-21,model,0.9134262,-3.7608829,0.9134262,False,False,False,0.9072642819894969,0.0122753605,0.0,12.811024935127243,0.12550000000000003
2008-02-22,model,1.3482132,-3.7608829,1.3482132,False,False,False,0.9072642819894969,0.0142608,0.0,15.143769044278196,0.12600000000000003
2008-02-23,model,1.0831283,-3.7608829,1.0831283,False,False,False,0.9072642819894969,0.013171369,0.0,13.785007235933264,0.12650000000000003
2008-02-24,model,1.0105454,-3.7608829,1.0105454,False,False,False,0.9072642819894969,0.012972804,0.0,13.511755484366097,0.12700000000000003
2008-02-25,model,0.8895401,-3.7608829,0.8895401,False,False,False,0.9072642819894969,0.012830215,0.0,13.230458598574653,0.12750000000000003
2008-02-26,model,0.78164977,-3.7608829,0.78164977,False,False,False,0.9072642819894969,0.012903413,0.0,13.182320462187471,0.12800000000000003
2008-02-27,model,0.7216507,-3.7608829,0.7216507,False,False,False,0.9072642819894969,0.012870902,0.0,13.003017622417785,0.12850000000000003
2008-02-28,model,0.6967392,-3.8218384,0.6967392,False,False,False,0.9072642819894969,0.012733294,0.0,12.81121593124787,0.12900000000000003
2008-02-29,model,0.6750717,-3.7608829,0.6750717,False,False,False,0.9072642819894969,0.012641413,0.0,12.653804969746677,0.12950000000000003
2008-03-01,model,0.6550461,-3.031249,0.6550461,False,False,False,0.9072642819894969,0.012566916,0.0,12.467688177586265,0.13000000000000003
2008-03-02,model,0.6374008,-3.031249,0.6374008,False,False,False,0.9072642819894969,0.012486444,0.0,12.319385885124625,0.13050000000000003
2008-03-03,model,0.62868655,-3.031249,0.62868655,False,False,False,0.9072642819894969,0.012315735,0.0,12.126624325471711,0.13100000000000003
