date,Q_mean,Q_std,w_t
2002-03-22,0.28345338,0.56690675,0.005552746
2002-03-23,0.34830934,0.6966187,0.00682325
2002-03-24,3.0573318,2.4084473,0.02359029
2002-03-25,7.835355,3.1039,0.030402122
2002-03-26,6.0627,3.686873,0.036112234
2002-03-27,5.9110994,3.6366613,0.035620417
2002-03-28,4.8971024,3.8040223,0.03725969
2002-03-29,4.2162414,3.6945505,0.036187433
2002-03-30,3.5536208,3.6263165,0.035519093
2002-03-31,3.2378037,3.670565,0.035952497
2002-04-01,2.7588868,3.4471488,0.03376418
2002-04-02,2.4472642,3.0890372,0.030256543
2002-04-03,2.5643997,3.1844156,0.031190757
2002-04-04,2.3275878,2.9029388,0.028433744
2002-04-05,2.0626938,2.5735388,0.025207333
2002-04-06,1.7353531,2.1500711,0.021059547
2002-04-07,1.4738404,1.8217654,0.017843852
2002-04-08,1.2064072,1.4839536,0.014535049
2002-04-09,0.94602203,1.1590825,0.011352997
2002-04-10,0.6811401,0.83901674,0.008218013
2002-04-11,0.015170288,0.030340577,0.0002971803
2002-04-12,0.50471956,1.0094391,0.009887268
2002-04-13,2.4524963,2.4379375,0.023879142
2002-04-14,1.7523117,2.1462736,0.02102235
2002-04-15,1.4990342,1.8361754,0.017984996
2002-04-16,1.2423996,1.5235465,0.014922854
2002-04-17,0.9257904,1.1339328,0.011106661
2002-04-18,0.33917847,0.47437704,0.0046464344
2002-04-19,0.19025269,0.38050538,0.0037269793
2002-04-20,0.6285385,0.89278424,0.008744655
2002-04-21,1.5665772,1.8657994,0.018275157
2002-04-22,4.0493164,2.7979066,0.027404973
2002-04-23,6.1095,3.5057764,0.034338426
2002-04-24,5.3583727,3.5121083,0.034400444
2002-04-25,3.9763138,3.511621,0.034395672
2002-04-26,3.2615693,3.24627,0.031796608
2002-04-27,1.5995117,2.0854027,0.02042613
2002-04-28,3.9482162,3.2143178,0.031483643
2002-04-29,3.6299012,3.4613214,0.033902995
2002-04-30,3.00085,3.1018043,0.030381594
2002-05-01,2.193988,2.6024413,0.025490427
2002-05-02,1.2144912,1.7908756,0.017541291
2002-05-03,3.145485,2.7527323,0.0269625
2002-05-04,3.5432816,3.0425804,0.029801507
2002-05-05,2.297287,2.6405702,0.025863891
