date,P,PET,Q,P7d,P30d,P90d,ASM,regime,Q_lstm
1965-01-01,0.0,4.12287946045399,0.9340000152587892,0.0,0.0,0.0,0.9863324356142418,low,
1965-01-02,0.0,3.56954113952816,0.9300000071525574,0.0,0.0,0.0,0.9863605475945337,low,
1965-01-03,0.0,4.24217670038342,0.8980000019073486,0.0,0.0,0.0,0.9863530811796837,low,
1965-01-04,0.0,4.04687649942935,0.8709999918937683,0.0,0.0,0.0,0.9863559101805995,low,
1965-01-05,0.0,3.13003543019295,0.8799999952316284,0.0,0.0,0.0,0.9864051772237882,low,
1965-01-06,0.2611,3.76616868842393,0.7990000247955322,0.2611,0.2611,0.2611,0.9864329276030088,low,
1965-01-07,0.0923,3.97856068331748,0.7580000162124634,0.3534,0.3534,0.3534,0.9864399242609965,low,
1965-01-08,0.0,3.75583962071687,0.75,0.3534,0.3534,0.3534,0.9864531970402305,low,
1965-01-09,0.0,3.88751635886729,0.722000002861023,0.3534,0.3534,0.3534,0.9864591164326074,low,
1965-01-10,0.0,4.08252485096455,0.7269999980926514,0.3534,0.3534,0.3534,0.9864548325804142,low,
1965-01-11,0.0,4.3499917704612,0.7760000228881836,0.3534,0.3534,0.3534,0.986437174444332,low,
1965-01-12,0.0,3.75085195060819,0.75,0.3534,0.3534,0.3534,0.986450838109616,low,
1965-01-13,0.0,4.55021134018898,0.6909999847412109,0.0923,0.3534,0.3534,0.986423207676837,low,
1965-01-14,0.6177,4.05268415994942,0.6779999732971191,0.6177,0.9711000000000001,0.9711000000000001,0.9864536171306181,low,
1965-01-15,0.0,3.79545928817242,0.656000018119812,0.6177,0.9711,0.9711,0.9864641924158805,low,
1965-01-16,0.0,4.77863149903715,0.6129999756813049,0.6177,0.9711,0.9711,0.9864242895356362,low,
1965-01-17,0.0,5.36336628906429,0.3810000121593475,0.6177,0.9711,0.9711,0.9863566747426694,low,
1965-01-18,0.0,3.64681274816394,0.335999995470047,0.6177,0.9711,0.9711,0.9863796490345655,low,
1965-01-19,0.0,4.3851818498224,0.3000000119209289,0.6177,0.9711,0.9711,0.9863639622675217,low,
1965-01-20,0.0,4.15291835926473,0.2939999997615814,0.6177,0.9711,0.9711,0.9863608598288581,low,
1965-01-21,0.0,4.24122487939894,0.2939999997615814,0.0,0.9711,0.9711,0.9863534261589153,low,
1965-01-22,0.0,3.87249045912176,0.2939999997615814,0.0,0.9711,0.9711,0.986365097476063,low,
1965-01-23,0.0,4.09176650084555,0.2939999997615814,0.0,0.9711,0.9711,0.986365045055906,low,
1965-01-24,0.0,3.55748498532921,0.2939999997615814,0.0,0.9711,0.9711,0.9863921390688997,low,
1965-01-25,0.0,3.93989597912878,0.2939999997615814,0.0,0.9711,0.9711,0.9863984502485542,low,
1965-01-26,0.0,3.77929618023336,0.2939999997615814,0.0,0.9711,0.9711,0.9864126050337202,low,
1965-01-27,0.0,4.36573121882975,0.2910000085830688,0.0,0.9711,0.9711,0.9863962586429111,low,
1965-01-28,0.0,4.09631538763642,0.2720000147819519,0.0,0.9711,0.9711,0.9863944170612856,low,
1965-01-29,0.0,4.76570476032794,0.2509999871253967,0.0,0.9711,0.9711,0.986358659683015,low,
1965-01-30,0.0,4.3871519099921,0.2290000021457672,0.0,0.9711,0.9711,0.9863439222959702,low,
1965-01-31,0.0,3.97506541013718,0.2119999974966049,0.0,0.9711,0.9711,0.9863508575550426,low,
1965-02-01,0.0,3.77746487036347,0.209999993443489,0.0,0.9711,0.9711,0.9863674850133474,low,
1965-02-02,1.0132,4.16332198306918,0.209999993443489,1.0132,1.9843000000000002,1.9843000000000002,0.9864151528311236,low,
1965-02-03,0.0,4.06831649877131,0.209999993443489,1.0132,1.9843,1.9843,0.9864137890047573,low,
1965-02-04,0.0,3.8966118209064,0.209999993443489,1.0132,1.9843,1.9843,0.9864212167100919,low,
1965-02-05,0.0,4.24782180599868,0.209999993443489,1.0132,1.7231999999999998,1.9843,0.9864104300436797,low,
1965-02-06,0.0,4.54456748999655,0.209999993443489,1.0132,1.6309,1.9843,0.986385106746201,low,
1965-02-07,1.9642,4.45673905871809,0.209999993443489,2.9774000000000003,3.5951,3.9485,0.9864653015344138,low,
1965-02-08,0.0,4.32994174025953,0.2049999982118606,2.9774000000000003,3.5951,3.9485,0.9864481385788968,low,
1965-02-09,0.4945,5.29645107127726,0.1749999970197677,2.4587,4.0896,4.443,0.9864078536553579,low,
1965-02-10,9.9534,4.71185369975865,0.1589999943971634,12.4121,14.043,14.3964,0.9868798360898666,low,
1965-02-11,8.7237,2.92349417414516,0.1679999977350235,21.1358,22.7667,23.1201,0.9873566017231581,low,
1965-02-12,0.0,3.87296946160495,0.1560000032186508,21.1358,22.7667,23.1201,0.9873180899266955,low,
1965-02-13,3.446,4.3496396895498,0.1539999991655349,24.5818,25.595000000000002,26.5661,0.9874323585169774,low,
1965-02-14,1.0767,5.203897299245,0.1519999951124191,23.694300000000002,26.6717,27.642799999999998,0.9873771430069522,low,
1965-02-15,0.8893,4.77085261978209,0.1360000073909759,24.583599999999997,27.561,28.5321,0.9873371680847363,low,
1965-02-16,0.0,4.31478272005916,0.1099999994039535,24.0891,27.561,28.5321,0.9872771819455031,low,
1965-02-17,0.0,4.884880900383,0.1059999987483024,14.1357,27.561,28.5321,0.9871912316595837,low,
1965-02-18,1.2631,5.3935774397105,0.1019999980926513,6.6751000000000005,28.8241,29.795199999999998,0.9871479058471035,low,
1965-02-19,0.0,4.56064935959876,0.0790000036358833,6.6751000000000005,28.8241,29.795199999999998,0.9870848917309122,low,
1965-02-20,0.0,5.27928420901299,0.0640000030398368,3.2291,28.8241,29.795199999999998,0.986988518561564,low,
1965-02-21,0.0,4.07982494868338,0.0520000010728836,2.1524,28.8241,29.795199999999998,0.9869579017696378,low,
1965-02-22,0.0,4.60282351076603,0.0419999994337558,1.2631,28.8241,29.795199999999998,0.9869022452280067,low,
1965-02-23,0.2144,5.57764404080808,0.0390000008046627,1.4774999999999998,29.038500000000003,30.0096,0.9868107388611617,low,
1965-02-24,1.2273,4.43913112953305,0.0299999993294477,2.7047999999999996,30.265800000000002,31.2369,0.98683310889497,low,
1965-02-25,0.0,5.17250595055521,0.0280000008642673,1.4417,30.265800000000002,31.2369,0.986754749664842,low,
1965-02-26,0.0,4.16041264869273,0.0199999995529651,1.4417,30.265800000000002,31.2369,0.9867317271139913,low,
1965-02-27,0.0,5.84407698921859,0.0109999999403953,1.4417,30.265800000000002,31.2369,0.986624318259117,low,
1965-02-28,0.0,5.02081261016428,0.0099999997764825,1.4417,30.265800000000002,31.2369,0.9865641052386571,low,
1965-03-01,0.0,4.91402339935303,0.0089999996125698,1.4417,30.265800000000002,31.2369,0.9865123282230699,low,
1965-03-02,0.0,5.64202273078263,0.0089999996125698,1.2273,30.265800000000002,31.2369,0.9864261545431012,low,
1965-03-03,0.0,4.51020603999496,0.0080000003799796,0.0,30.265800000000002,31.2369,0.9864017907309497,low,
1965-03-04,0.0,5.07514614053071,0.0080000003799796,0.0,29.2526,31.2369,0.9863499437085236,low,
1965-03-05,0.0,5.34548396989703,0.0080000003799796,0.0,29.2526,31.2369,0.9862869547060801,low,
1965-03-06,0.0,4.98401221074164,0.0070000002160668,0.0,29.2526,31.2369,0.986245479482751,low,
1965-03-07,0.0,4.94039772078395,0.006000000052154,0.0,29.2526,31.2369,0.9862082938253425,low,
1965-03-08,2.3078,4.63713664002717,0.006000000052154,2.3078,31.5604,33.5447,0.9863056206484363,low,
1965-03-09,0.0,4.6490519400686,0.006000000052154,2.3078,29.596200000000003,33.5447,0.9862802295586852,low,
1965-03-10,0.0,4.47404742054641,0.0049999998882412,2.3078,29.596200000000003,33.5447,0.9862649990100346,low,
1965-03-11,0.7323,5.41000510007143,0.0040000001899898,3.0401,29.834,34.277,0.9862401832977299,low,
1965-03-12,2.6247,5.45503239892423,0.0040000001899898,5.6648,22.505300000000002,36.9017,0.986310462895483,low,
1965-03-13,0.7115,5.79844298027456,0.0040000001899898,6.3763,14.4931,37.6132,0.9862625829343413,low,
1965-03-14,3.6455,5.30488759092987,0.0040000001899898,10.021799999999999,18.1386,41.2587,0.9863912316116942,low,
1965-03-15,0.6592,3.42832025047392,0.0040000001899898,8.373199999999999,15.3518,41.917899999999996,0.9864570686356772,low,
1965-03-16,0.0,4.43362651579082,0.0040000001899898,8.373199999999999,14.2751,41.917899999999996,0.9864350496899884,low,
1965-03-17,0.0,4.67119780927897,0.0040000001899898,8.373199999999999,13.3858,41.917899999999996,0.9864020620422068,low,
1965-03-18,0.0158,5.23071342147887,0.0040000001899898,7.6567,13.401599999999998,41.9337,0.9863431006717511,low,
1965-03-19,0.8532,5.33523795939982,0.0040000001899898,5.8852,14.2548,42.786899999999996,0.9863243206135086,low,
