tau,coverage,risk,strategy
9.794813422558946e-07,0.02327173169062286,0.6503496503496503,S1-LSTM
9.794813422558946e-07,0.02327173169062286,0.0,S2-Oracle
9.794813422558946e-07,0.02327173169062286,0.34965034965034963,S2-XGB
9.794813422558946e-07,0.02327173169062286,0.6503496503496503,S1-LSTM
9.794813422558946e-07,0.02327173169062286,0.0,S2-Oracle
9.794813422558946e-07,0.02327173169062286,0.34965034965034963,S2-XGB
9.794813422558946e-07,0.02327173169062286,0.6503496503496503,S1-LSTM
9.794813422558946e-07,0.02327173169062286,0.0,S2-Oracle
9.794813422558946e-07,0.02327173169062286,0.34965034965034963,S2-XGB
0.002650561979971827,0.030800821355236138,0.6503496503496503,S1-LSTM
0.002650561979971827,0.030800821355236138,0.0,S2-Oracle
0.002650561979971827,0.030800821355236138,0.34965034965034963,S2-XGB
0.0054476341385055705,0.040383299110198494,0.6503496503496503,S1-LSTM
0.0054476341385055705,0.040383299110198494,0.0,S2-Oracle
0.0054476341385055705,0.040383299110198494,0.34965034965034963,S2-XGB
0.007883519116281112,0.04996577686516085,0.6503496503496503,S1-LSTM
0.007883519116281112,0.04996577686516085,0.0,S2-Oracle
0.007883519116281112,0.04996577686516085,0.34965034965034963,S2-XGB
0.009936432029035958,0.05886379192334018,0.6503496503496503,S1-LSTM
0.009936432029035958,0.05886379192334018,0.0,S2-Oracle
0.009936432029035958,0.05886379192334018,0.34965034965034963,S2-XGB
0.010956793891435319,0.06913073237508556,0.6503496503496503,S1-LSTM
0.010956793891435319,0.06913073237508556,0.0,S2-Oracle
0.010956793891435319,0.06913073237508556,0.34965034965034963,S2-XGB
0.011485949781807987,0.07734428473648186,0.6503496503496503,S1-LSTM
0.011485949781807987,0.07734428473648186,0.0,S2-Oracle
0.011485949781807987,0.07734428473648186,0.34965034965034963,S2-XGB
0.012138221255418928,0.08898015058179329,0.6503496503496503,S1-LSTM
0.012138221255418928,0.08898015058179329,0.0,S2-Oracle
0.012138221255418928,0.08898015058179329,0.34965034965034963,S2-XGB
0.012719112905589018,0.09924709103353867,0.6503496503496503,S1-LSTM
0.012719112905589018,0.09924709103353867,0.0,S2-Oracle
0.012719112905589018,0.09924709103353867,0.34965034965034963,S2-XGB
0.013357411548495292,0.10882956878850103,0.6503496503496503,S1-LSTM
0.013357411548495292,0.10882956878850103,0.0,S2-Oracle
0.013357411548495292,0.10882956878850103,0.34965034965034963,S2-XGB
0.014215855591676452,0.11704312114989733,0.6503496503496503,S1-LSTM
0.014215855591676452,0.11704312114989733,0.0,S2-Oracle
0.014215855591676452,0.11704312114989733,0.34965034965034963,S2-XGB
0.015341746216131883,0.1266255989048597,0.6503496503496503,S1-LSTM
0.015341746216131883,0.1266255989048597,0.0,S2-Oracle
0.015341746216131883,0.1266255989048597,0.34965034965034963,S2-XGB
0.016428619995713233,0.13689253935660506,0.6503496503496503,S1-LSTM
0.016428619995713233,0.13689253935660506,0.0,S2-Oracle
0.016428619995713233,0.13689253935660506,0.34965034965034963,S2-XGB
0.01708027876236222,0.1464750171115674,0.6503496503496503,S1-LSTM
0.01708027876236222,0.1464750171115674,0.0,S2-Oracle
0.01708027876236222,0.1464750171115674,0.34965034965034963,S2-XGB
0.017686037346720695,0.15742642026009582,0.6503496503496503,S1-LSTM
0.017686037346720695,0.15742642026009582,0.0,S2-Oracle
0.017686037346720695,0.15742642026009582,0.34965034965034963,S2-XGB
0.01831078325482932,0.16906228610540724,0.6503496503496503,S1-LSTM
0.01831078325482932,0.16906228610540724,0.0,S2-Oracle
0.01831078325482932,0.16906228610540724,0.34965034965034963,S2-XGB
0.019672441672195087,0.17932922655715264,0.6503496503496503,S1-LSTM
0.019672441672195087,0.17932922655715264,0.0,S2-Oracle
0.019672441672195087,0.17932922655715264,0.34965034965034963,S2-XGB
0.02058688307688995,0.188911704312115,0.6503496503496503,S1-LSTM
0.02058688307688995,0.188911704312115,0.0,S2-Oracle
0.02058688307688995,0.188911704312115,0.34965034965034963,S2-XGB
0.021597159857099705,0.19849418206707733,0.6503496503496503,S1-LSTM
0.021597159857099705,0.19849418206707733,0.0,S2-Oracle
0.021597159857099705,0.19849418206707733,0.34965034965034963,S2-XGB
0.022651983614672314,0.20944558521560575,0.6503496503496503,S1-LSTM
0.022651983614672314,0.20944558521560575,0.0,S2-Oracle
0.022651983614672314,0.20944558521560575,0.34965034965034963,S2-XGB
0.024256118535995484,0.21971252566735114,0.6503496503496503,S1-LSTM
0.024256118535995484,0.21971252566735114,0.0,S2-Oracle
0.024256118535995484,0.21971252566735114,0.34965034965034963,S2-XGB
0.02497241524471478,0.2292950034223135,0.6503496503496503,S1-LSTM
0.02497241524471478,0.2292950034223135,0.0,S2-Oracle
0.02497241524471478,0.2292950034223135,0.34965034965034963,S2-XGB
0.026584859090772548,0.23956194387405885,0.6503496503496503,S1-LSTM
0.026584859090772548,0.23956194387405885,0.0,S2-Oracle
0.026584859090772548,0.23956194387405885,0.34965034965034963,S2-XGB
0.027832577513022854,0.24914442162902123,0.6503496503496503,S1-LSTM
0.027832577513022854,0.24914442162902123,0.0,S2-Oracle
0.027832577513022854,0.24914442162902123,0.34965034965034963,S2-XGB
0.028864373104138807,0.2614647501711157,0.6503496503496503,S1-LSTM
0.028864373104138807,0.2614647501711157,0.0,S2-Oracle
0.028864373104138807,0.2614647501711157,0.34965034965034963,S2-XGB
0.02938312250782143,0.27104722792607805,0.6503496503496503,S1-LSTM
0.02938312250782143,0.27104722792607805,0.0,S2-Oracle
0.02938312250782143,0.27104722792607805,0.34965034965034963,S2-XGB
0.03103473156013272,0.28199863107460643,0.6503496503496503,S1-LSTM
0.03103473156013272,0.28199863107460643,0.0,S2-Oracle
0.03103473156013272,0.28199863107460643,0.34965034965034963,S2-XGB
0.03244304176758636,0.2922655715263518,0.6503496503496503,S1-LSTM
0.03244304176758636,0.2922655715263518,0.0,S2-Oracle
0.03244304176758636,0.2922655715263518,0.34965034965034963,S2-XGB
0.03434116007252173,0.3004791238877481,0.6503496503496503,S1-LSTM
0.03434116007252173,0.3004791238877481,0.0,S2-Oracle
0.03434116007252173,0.3004791238877481,0.34965034965034963,S2-XGB
0.03654702605171638,0.3107460643394935,0.6503496503496503,S1-LSTM
0.03654702605171638,0.3107460643394935,0.0,S2-Oracle
0.03654702605171638,0.3107460643394935,0.34965034965034963,S2-XGB
0.03847092637961562,0.3189596167008898,0.6503496503496503,S1-LSTM
0.03847092637961562,0.3189596167008898,0.0,S2-Oracle
