date,Q_lstm,w_t,P,PET,P7d,P30d,P90d,ASM,BF_proxy,delta_Q,sin_month,cos_month
2008-06-09,8.304842,3.7345164,2.783531,-0.7651665,-24.541725,-5.109476,-16.274939,-53.045986,11.161365,1.0120857,-5.8042164,5.380699
2008-06-10,9.309575,3.4914157,2.9929807,-2.2907963,-31.42507,-5.2476974,-16.117327,-51.850273,11.691412,1.1194404,-4.487495,5.4282866
2008-06-11,8.851449,3.4014592,1.4684198,-1.3193038,-31.882475,-5.4817104,-16.445192,-50.539055,12.052325,0.90612245,-4.177168,5.4247913
2008-06-12,8.116467,3.5074341,2.4595292,-2.2203531,-32.826614,-4.873176,-16.167322,-51.144627,12.400317,1.3237231,-4.52481,5.500754
2008-06-13,7.8948975,3.063471,3.3299208,-0.13721158,-34.310703,-5.849595,-16.224434,-51.855743,12.175132,1.7352571,-3.6434975,5.576742
2008-06-14,8.27593,3.3591025,2.9527123,-1.3820951,-34.03907,-5.2704296,-16.402283,-54.570248,13.135042,2.2284849,-3.6727386,5.608012
2008-06-15,10.463264,3.4350193,2.393668,-2.1041574,-35.05871,-5.192364,-15.969024,-52.653107,13.104296,2.2329772,-3.9322124,5.575572
2008-06-16,9.579982,3.4312696,0.9321456,-2.5819664,-34.218945,-5.5230474,-15.885619,-50.53503,13.627251,1.8810533,-3.686362,5.572077
2008-06-17,8.000654,3.3591688,0.9653018,-2.7458649,-34.74456,-5.5200286,-16.008308,-50.043617,12.933177,1.3372164,-3.7254462,5.572077
2008-06-18,6.287584,3.6608672,3.0595894,0.81513244,-35.685387,-5.8813496,-17.530565,-53.179123,12.394204,2.362264,-3.6727386,5.572934
2008-06-19,6.910352,3.8153481,2.489673,1.403839,-35.550457,-6.0308375,-17.590996,-52.48939,12.393621,2.208968,-3.6727386,5.5903215
2008-06-20,6.326418,3.2784545,2.4126065,-2.1172209,-35.12205,-5.4221835,-15.829977,-53.090916,12.428279,2.5200267,-4.0235567,5.575572
2008-06-21,8.1407585,3.3892207,1.757817,-2.4765892,-34.715126,-5.0061603,-15.867187,-53.041992,12.434487,2.2889678,-3.9191525,5.608012
2008-06-22,8.245113,2.9730394,-5.7602434,0.07432209,-31.380262,-5.848738,-15.907895,-48.23762,11.733808,2.1135166,-3.537368,5.323563
2008-06-23,8.458714,3.2902312,-6.783192,-2.188638,-24.953556,-5.6718464,-15.365626,-49.515747,12.596281,1.3370634,-4.6865373,5.287704
2008-06-24,3.385755,4.3409643,-13.203476,1.4933491,15.013884,-6.617104,-26.33725,-55.523968,10.614831,-1.9972053,-7.4921346,6.4891014
2008-06-25,2.6656015,3.0372794,4.0611663,1.4197236,23.63464,-4.743457,-31.767723,-62.105984,10.755319,-0.87701535,-8.430329,6.2011127
2008-06-26,-10.914805,4.287919,-7.266486,1.5360558,69.12568,-5.514158,-47.853413,-65.1257,-3.9801836,0.6708641,-5.4301844,6.493068
2008-06-27,-15.357798,4.1401987,-5.0758166,-0.96875405,74.92651,-2.8936222,-51.48543,-62.498455,-3.0153167,1.2698972,-4.6532745,6.508852
2008-06-28,-47.71154,4.4962606,-11.159542,1.2417719,97.27815,-10.25402,-43.893,-43.256706,-2.4285567,1.6657939,-15.498915,5.5831103
2008-06-29,-38.22561,4.7841554,-20.355093,-5.3669257,108.29911,12.902511,-66.80542,3.7843277,0.97779775,2.1871865,-13.408232,5.8052325
2008-06-30,-41.657814,6.118191,-12.877339,-2.282647,100.26766,16.445364,-68.477196,7.906714,-1.5649703,0.92975724,-14.920678,7.062071
2008-07-01,-45.882828,6.3389235,-19.688305,0.1794084,85.99054,24.680515,-67.684006,11.035937,-4.436809,-0.63797224,-14.820178,7.535666
2008-07-02,-41.59416,5.0293136,10.961206,-5.2678123,90.986374,20.397015,-63.415012,10.590079,-6.9960647,0.1059011,-16.745104,7.0515122
2008-07-03,-10.323561,4.9265065,8.913622,-2.6434329,67.35502,21.413752,-69.262955,5.4348435,-11.478058,-0.5223219,-6.9118705,7.697497
2008-07-04,-12.196933,4.9058285,10.008709,0.5392674,67.80211,21.555092,-71.53502,3.1950066,-9.989257,-0.2670999,-7.571934,7.6468005
2008-07-07,9.127931,4.699401,-18.94983,1.4145387,-3.170853,23.23002,-40.94463,15.390541,13.108213,-1.5433894,-9.7801075,6.4950194
2008-07-08,11.422426,4.9803305,-0.019543465,-0.7825924,-24.867338,24.154316,-37.9506,20.866184,11.320446,-1.8763883,-8.587397,5.982693
2008-07-09,10.103047,4.628992,8.387529,-0.28794327,-16.693087,24.260063,-39.450787,22.387403,11.337562,-0.091807656,-8.976344,6.003911
2008-07-10,11.064576,4.8980603,8.424604,1.766717,-27.863039,25.589912,-39.891132,22.538378,11.340256,0.2173667,-9.245113,5.5783453
2008-07-11,7.4369416,4.074583,5.951205,-1.7513999,-25.564075,24.676598,-28.66852,-10.879031,9.543901,0.47292334,-11.395596,7.0301695
2008-07-12,6.6839385,4.186433,5.3098655,-0.73516023,-27.841782,23.687433,-30.675205,-24.132343,9.948972,5.4548855,-8.476194,6.1349635
2008-07-13,25.1019,3.1866174,2.9522514,-0.36979026,-48.525665,25.57125,-26.729563,-41.657604,12.0586,6.192486,-5.056469,5.474939
2008-07-14,25.631699,4.064913,-10.185867,0.7961001,-42.136406,24.993681,-28.757483,-13.914897,12.228029,1.7774407,-7.0153794,5.395175
2008-07-15,21.125294,4.536265,3.9615102,0.044891994,-43.671844,26.12075,-28.758085,-19.726454,11.439906,1.9864138,-7.2817497,5.3549047
2008-07-16,24.434324,5.324085,0.23278025,0.9597417,-43.50024,26.660358,-28.823736,-21.333849,12.065779,-0.87005657,-7.266981,5.223365
2008-07-17,25.852352,5.2786913,-4.4535394,1.5001812,-41.62453,24.197105,-29.429228,-9.442595,10.260375,-1.675041,-7.4507456,5.03281
2008-07-18,26.901201,4.7469563,-20.621923,-4.3486657,10.9789095,12.633325,-31.957123,2.7899172,12.306551,-5.1855025,-16.440973,6.80959
2008-07-19,29.555746,4.505992,5.690353,0.33294135,37.337917,8.696207,-31.180492,9.189039,14.337132,-1.4219236,-17.808313,6.505437
2008-07-20,51.839287,3.796805,-17.278578,-4.1145105,110.451614,9.570774,-20.807848,-9.671375,-1.7246306,-0.6803841,-20.462786,3.555273
2008-07-21,58.26133,12.807234,-23.033546,-0.31123984,103.82001,8.14991,1.3526467,45.803734,-4.868753,-2.4674926,-22.211914,4.0896344
2008-07-22,55.383663,11.753836,-1.7896258,1.3229069,114.32237,21.56332,1.3231801,57.447372,-4.3822565,2.5292108,-23.116318,5.0274553
2008-07-23,43.4215,8.722525,12.990684,-0.16914937,116.354225,13.588459,-32.31621,21.82991,-7.7060943,0.30409014,-21.522158,4.603893
2008-07-24,53.9039,5.9226284,7.8507724,-3.0414975,122.86023,15.602389,-26.858273,4.365607,-1.7880851,-5.2067137,-25.422003,4.239702
2008-07-25,31.912384,3.2016077,-22.359749,0.76108944,33.806763,10.222175,-25.510057,14.714997,17.5645,-10.358345,-17.24111,9.396977
2008-07-26,77.760506,3.8778281,-30.148058,0.299385,142.6775,14.483178,1.3599175,77.9546,8.916112,-2.046202,-22.65719,7.348631
